"filename", "language", "JSON", "Groovy", "TypeScript", "TypeScript React", "JavaScript", "Objective-C", "XML", "C++", "Objective-C++", "Makefile", "Properties", "Java", "JSON with Comments", "Batch", "comment", "blank", "total"
"k:\Work\React-native\Bakish\Bakish\babel.config.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"k:\Work\React-native\Bakish\Bakish\index.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"k:\Work\React-native\Bakish\Bakish\ios\BakishTests\BakishTests.m", "Objective-C", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 67
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 24, 109
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\Images.xcassets\Contents.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 1, 48
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\main.m", "Objective-C", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"k:\Work\React-native\Bakish\Bakish\metro.config.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"k:\Work\React-native\Bakish\Bakish\package-lock.json", "JSON", 26716, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26717
"k:\Work\React-native\Bakish\Bakish\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"k:\Work\React-native\Bakish\Bakish\src\screens\HomeScreen\HomeScreen.tsx", "TypeScript React", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"k:\Work\React-native\Bakish\Bakish\src\screens\HomeScreen\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\Work\React-native\Bakish\Bakish\src\theme\colors.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"k:\Work\React-native\Bakish\Bakish\src\theme\fonts.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"k:\Work\React-native\Bakish\Bakish\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 76, 9, 106
"Total", "-", 26826, 205, 21, 26, 53, 61, 100, 165, 85, 28, 11, 288, 21, 68, 385, 283, 28626
